Date,Symbol,Close
1/2/2014,AMZN,397.97
1/3/2014,AMZN,396.44
1/6/2014,AMZN,393.63
1/7/2014,AMZN,398.03
1/8/2014,AMZN,401.92
1/9/2014,AMZN,401.01
1/10/2014,AMZN,397.66
1/13/2014,AMZN,390.98
1/14/2014,AMZN,397.54
1/15/2014,AMZN,395.87
1/16/2014,AMZN,395.8
1/17/2014,AMZN,399.61
1/21/2014,AMZN,407.05
1/22/2014,AMZN,404.54
1/23/2014,AMZN,399.87
1/24/2014,AMZN,387.6
1/27/2014,AMZN,386.28
1/28/2014,AMZN,394.43
1/29/2014,AMZN,384.2
1/30/2014,AMZN,403.01
1/31/2014,AMZN,358.69
2/3/2014,AMZN,346.15
2/4/2014,AMZN,347.95
2/5/2014,AMZN,346.45
2/6/2014,AMZN,354.59
2/7/2014,AMZN,361.08
2/10/2014,AMZN,360.87
2/11/2014,AMZN,361.79
2/12/2014,AMZN,349.25
2/13/2014,AMZN,357.2
2/14/2014,AMZN,357.35
2/18/2014,AMZN,353.65
2/19/2014,AMZN,347.38
2/20/2014,AMZN,349.8
2/21/2014,AMZN,346.76
2/24/2014,AMZN,351.78
2/25/2014,AMZN,358.32
2/26/2014,AMZN,359.8
2/27/2014,AMZN,360.13
2/28/2014,AMZN,362.1
3/3/2014,AMZN,359.78
3/4/2014,AMZN,363.9
3/5/2014,AMZN,372.37
3/6/2014,AMZN,372.16
3/7/2014,AMZN,372.06
3/10/2014,AMZN,370.53
3/11/2014,AMZN,368.82
3/12/2014,AMZN,370.64
3/13/2014,AMZN,371.51
3/14/2014,AMZN,373.74
3/17/2014,AMZN,375.04
3/18/2014,AMZN,378.77
3/19/2014,AMZN,373.23
3/20/2014,AMZN,368.97
3/21/2014,AMZN,360.62
3/24/2014,AMZN,351.85
3/25/2014,AMZN,354.71
3/26/2014,AMZN,343.41
3/27/2014,AMZN,338.47
3/28/2014,AMZN,338.29
3/31/2014,AMZN,336.37
4/1/2014,AMZN,342.99
4/2/2014,AMZN,341.96
4/3/2014,AMZN,333.62
4/4/2014,AMZN,323
4/7/2014,AMZN,317.76
4/8/2014,AMZN,327.07
4/9/2014,AMZN,331.81
4/10/2014,AMZN,317.11
4/11/2014,AMZN,311.73
4/14/2014,AMZN,315.91
4/15/2014,AMZN,316.08
4/16/2014,AMZN,323.68
4/17/2014,AMZN,324.91
4/21/2014,AMZN,330.87
4/22/2014,AMZN,329.32
4/23/2014,AMZN,324.58
4/24/2014,AMZN,337.15
4/25/2014,AMZN,303.83
